EquipID,System,EquipType,Point Name,Descriptor,Function,Point Type,Engineering Units,Slope,Intercept,Sensor Type,COV Trend,Collection,Panel Samples,PC Samples,COV Limit,Trend Interval 1,Collection 1,Panel Samples 1,PC Days 1,Trend Interval 2,Collection 2,Panel Samples 2,PC Days 2,Trend Interval 3,Collection 3,Panel Samples 3,PC Days 3,Trend Interval 4,Collection 4,Panel Samples 4,PC Days 4,EquipRef,Display Mode,BLN Type,BLN Sys Name,Node Identifer,Device Sys Name,BACnet Object type,BACnet Object Instance,BACnet Object Name,BACnet Device Instance,Address Type DHCP?,IP address,UDP port,BACnet network,MSTP Address,MSTP network,Apogee Pt type,Virtual,IP Port,Insight Node Number,FLN Device Sys Name,LocalRef,AppInstanceID,Medium,Memo
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:DO 2,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.FCU.241TV:DO 2,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LDO,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:DO 3,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.FCU.241TV:DO 3,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LDO,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:DO 4,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.FCU.241TV:DO 4,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LDO,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:DO 5,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.FCU.241TV:DO 5,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LDO,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:FAN,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.FCU.241TV:FAN,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LDO,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:HEAT TEMP,,,LAO,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.FCU.241TV:HEAT TEMP,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LAO,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:HEAT.COOL,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.FCU.241TV:HEAT.COOL,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LDO,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:HTG LOOPOUT,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.FCU.241TV:HTG LOOPOUT,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LAO,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:LOOP TIME,,,LAO,secs,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.FCU.241TV:LOOP TIME,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LAO,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:MTR SETUP,,,LAO,""" """,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.FCU.241TV:MTR SETUP,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LAO,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:NGT CLG STPT,,,LAO,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.FCU.241TV:NGT CLG STPT,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LAO,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:NGT HTG STPT,,,LAO,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.FCU.241TV:NGT HTG STPT,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LAO,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:NGT OVRD,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.FCU.241TV:NGT OVRD,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LDO,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:OVRD TIME,,,LAO,hrs,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.FCU.241TV:OVRD TIME,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LAO,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:RM CO2,,,LAI,ppm,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,0,4194303,BSHC.FCU.241TV:RM CO2,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LAI,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:RM RH,,,LAI,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,0,4194303,BSHC.FCU.241TV:RM RH,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LAI,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:RM STPT DIAL,,,LAI,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,0,4194303,BSHC.FCU.241TV:RM STPT DIAL,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LAI,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:RM STPT MAX,,,LAO,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.FCU.241TV:RM STPT MAX,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LAO,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:RM STPT MIN,,,LAO,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.FCU.241TV:RM STPT MIN,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LAO,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:RMTMP OFFSET,,,LAO,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.FCU.241TV:RMTMP OFFSET,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LAO,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:ROOM TEMP,,,LAI,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,0,4194303,BSHC.FCU.241TV:ROOM TEMP,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LAI,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:SENSOR SEL,,,LAO,""" """,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.FCU.241TV:SENSOR SEL,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LAO,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:STAGE FAN,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.FCU.241TV:STAGE FAN,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LAO,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:STPT DIAL,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.FCU.241TV:STPT DIAL,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LDO,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:STPT SPAN,,,LAO,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.FCU.241TV:STPT SPAN,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LAO,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:SUPPLY TEMP,,,LAI,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,0,4194303,BSHC.FCU.241TV:SUPPLY TEMP,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LAI,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:SWITCH LIMIT,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.FCU.241TV:SWITCH LIMIT,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LAO,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:VALVE CNT,,,LAO,""" """,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.FCU.241TV:VALVE CNT,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LAO,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:VLV 1 COMD,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.FCU.241TV:VLV 1 COMD,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LAO,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:VLV 1 POS,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.FCU.241TV:VLV 1 POS,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LAO,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:VLV 2  END,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.FCU.241TV:VLV 2  END,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LAO,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:VLV 2 COMD,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.FCU.241TV:VLV 2 COMD,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LAO,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:VLV 2 POS,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.FCU.241TV:VLV 2 POS,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LAO,NO,5033,100000,BSHC.FCU.241TV,,,,
fcu.241tv,Air Distribution,Fan Coil Unit,BSHC.FCU.241TV:VLV 2 START,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.FCU.241TV:VLV 2 START,1770161,Static,10.27.72.11,47808,1,BACD:61,17701,LAO,NO,5033,100000,BSHC.FCU.241TV,,,,
raf.vfd,Air Distribution,VAV Box,BSHC.RAF.VFD:AI_1,,,LAI,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,0,4194303,BSHC.RAF.VFD:AI_1,1770105,Static,10.27.72.11,47808,1,BACD:5,17701,LAI,NO,5033,100000,BSHC.RAF.VFD,,,,
raf.vfd,Air Distribution,VAV Box,BSHC.RAF.VFD:AV_2,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.RAF.VFD:AV_2,1770105,Static,10.27.72.11,47808,1,BACD:5,17701,LAO,NO,5033,100000,BSHC.RAF.VFD,,,,
raf.vfd,Air Distribution,VAV Box,BSHC.RAF.VFD:AV_5,,,LAO,A,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.RAF.VFD:AV_5,1770105,Static,10.27.72.11,47808,1,BACD:5,17701,LAO,NO,5033,100000,BSHC.RAF.VFD,,,,
raf.vfd,Air Distribution,VAV Box,BSHC.RAF.VFD:BV_6,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.RAF.VFD:BV_6,1770105,Static,10.27.72.11,47808,1,BACD:5,17701,LDO,NO,5033,100000,BSHC.RAF.VFD,,,,
raf.vfd,Air Distribution,VAV Box,BSHC.RAF.VFD:Frequency,,,LAO,Hz,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.RAF.VFD:Frequency,1770105,Static,10.27.72.11,47808,1,BACD:5,17701,LAO,NO,5033,100000,BSHC.RAF.VFD,,,,
BSHCAHU01PXCM,,,BSHC.SAF.SPD,SAF SPEED VIRT,,LAO,PCT,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,2,46,BSHC.SAF.SPD,17701,Static,10.27.72.11,47808,1,NA,NA,LAO,YES,5033,100000,NA,,,,
saf.vfd,Air Distribution,VAV Box,BSHC.SAF.VFD:AI_1,,,LAI,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,0,4194303,BSHC.SAF.VFD:AI_1,1770104,Static,10.27.72.11,47808,1,BACD:4,17701,LAI,NO,5033,100000,BSHC.SAF.VFD,,,,
saf.vfd,Air Distribution,VAV Box,BSHC.SAF.VFD:AV_2,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.SAF.VFD:AV_2,1770104,Static,10.27.72.11,47808,1,BACD:4,17701,LAO,NO,5033,100000,BSHC.SAF.VFD,,,,
saf.vfd,Air Distribution,VAV Box,BSHC.SAF.VFD:AV_5,,,LAO,A,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.SAF.VFD:AV_5,1770104,Static,10.27.72.11,47808,1,BACD:4,17701,LAO,NO,5033,100000,BSHC.SAF.VFD,,,,
saf.vfd,Air Distribution,VAV Box,BSHC.SAF.VFD:BV_6,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.SAF.VFD:BV_6,1770104,Static,10.27.72.11,47808,1,BACD:4,17701,LDO,NO,5033,100000,BSHC.SAF.VFD,,,,
saf.vfd,Air Distribution,VAV Box,BSHC.SAF.VFD:Frequency,,,LAO,Hz,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.SAF.VFD:Frequency,1770104,Static,10.27.72.11,47808,1,BACD:4,17701,LAO,NO,5033,100000,BSHC.SAF.VFD,,,,
vav.103,Air Distribution,VAV Box,BSHC.VAV.103:AIR VOLUME,,Terminal Unit Airflow,LAI,ft3/m,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,0,4194303,BSHC.VAV.103:AIR VOLUME,1770113,Static,10.27.72.11,47808,1,BACD:13,17701,LAI,NO,5033,100000,BSHC.VAV.103,,,VAV Box Air Volume,
vav.103,Air Distribution,VAV Box,BSHC.VAV.103:AUX TEMP AI3,,,LAI,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,0,4194303,BSHC.VAV.103:AUX TEMP AI3,1770113,Static,10.27.72.11,47808,1,BACD:13,17701,LAI,NO,5033,100000,BSHC.VAV.103,,,,
vav.103,Air Distribution,VAV Box,BSHC.VAV.103:CAL AIR,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.103:CAL AIR,1770113,Static,10.27.72.11,47808,1,BACD:13,17701,LDO,NO,5033,100000,BSHC.VAV.103,,,,
vav.103,Air Distribution,VAV Box,BSHC.VAV.103:CHK OUT,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.103:CHK OUT,1770113,Static,10.27.72.11,47808,1,BACD:13,17701,LDO,NO,5033,100000,BSHC.VAV.103,,,,
vav.103,Air Distribution,VAV Box,BSHC.VAV.103:CHK STATUS,,,LAO,""" """,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.103:CHK STATUS,1770113,Static,10.27.72.11,47808,1,BACD:13,17701,LAO,NO,5033,100000,BSHC.VAV.103,,,,
vav.103,Air Distribution,VAV Box,BSHC.VAV.103:CLG MAX,,,LAO,ft3/m,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.103:CLG MAX,1770113,Static,10.27.72.11,47808,1,BACD:13,17701,LAO,NO,5033,100000,BSHC.VAV.103,,,,
vav.103,Air Distribution,VAV Box,BSHC.VAV.103:CLG MIN,,,LAO,ft3/m,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.103:CLG MIN,1770113,Static,10.27.72.11,47808,1,BACD:13,17701,LAO,NO,5033,100000,BSHC.VAV.103,,,,
vav.103,Air Distribution,VAV Box,BSHC.VAV.103:CLG LOOPOUT,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.103:CLG LOOPOUT,1770113,Static,10.27.72.11,47808,1,BACD:13,17701,LAO,NO,5033,100000,BSHC.VAV.103,,,,
vav.103,Air Distribution,VAV Box,BSHC.VAV.103:CTL MAX,,,LAO,ft3/m,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.103:CTL MAX,1770113,Static,10.27.72.11,47808,1,BACD:13,17701,LAO,NO,5033,100000,BSHC.VAV.103,,,,
vav.103,Air Distribution,VAV Box,BSHC.VAV.103:CTL STPT,,,LAO,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.103:CTL STPT,1770113,Static,10.27.72.11,47808,1,BACD:13,17701,LAO,NO,5033,100000,BSHC.VAV.103,,,,
vav.103,Air Distribution,VAV Box,BSHC.VAV.103:CTL TEMP,,,LAO,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.103:CTL TEMP,1770113,Static,10.27.72.11,47808,1,BACD:13,17701,LAO,NO,5033,100000,BSHC.VAV.103,,,,
vav.103,Air Distribution,VAV Box,BSHC.VAV.103:CTLR ADDRESS,,,LAO,""" """,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.103:CTLR ADDRESS,1770113,Static,10.27.72.11,47808,1,BACD:13,17701,LAO,NO,5033,100000,BSHC.VAV.103,,,,
vav.103,Air Distribution,VAV Box,BSHC.VAV.103:DAY.NGT,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.103:DAY.NGT,1770113,Static,10.27.72.11,47808,1,BACD:13,17701,LDO,NO,5033,100000,BSHC.VAV.103,,,,
vav.103,Air Distribution,VAV Box,BSHC.VAV.103:DI 2,,,LDI,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,3,4194303,BSHC.VAV.103:DI 2,1770113,Static,10.27.72.11,47808,1,BACD:13,17701,LDI,NO,5033,100000,BSHC.VAV.103,,,,
vav.103,Air Distribution,VAV Box,BSHC.VAV.103:DI 3,,,LDI,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,3,4194303,BSHC.VAV.103:DI 3,1770113,Static,10.27.72.11,47808,1,BACD:13,17701,LDI,NO,5033,100000,BSHC.VAV.103,,,,
vav.103,Air Distribution,VAV Box,BSHC.VAV.103:DMPR COMD,,Terminal Unit Damper Command,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.103:DMPR COMD,1770113,Static,10.27.72.11,47808,1,BACD:13,17701,LAO,NO,5033,100000,BSHC.VAV.103,,,VAV Box Damper Command,
vav.103,Air Distribution,VAV Box,BSHC.VAV.103:DMPR POS,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.103:DMPR POS,1770113,Static,10.27.72.11,47808,1,BACD:13,17701,LAO,NO,5033,100000,BSHC.VAV.103,,,,
vav.103,Air Distribution,VAV Box,BSHC.VAV.103:DO 5,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.103:DO 5,1770113,Static,10.27.72.11,47808,1,BACD:13,17701,LDO,NO,5033,100000,BSHC.VAV.103,,,,
vav.103,Air Distribution,VAV Box,BSHC.VAV.103:DUCT AREA,,,LAO,ft2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.103:DUCT AREA,1770113,Static,10.27.72.11,47808,1,BACD:13,17701,LAO,NO,5033,100000,BSHC.VAV.103,,,,
vav.103,Air Distribution,VAV Box,BSHC.VAV.103:FLOW COEFF,,,LAO,""" """,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.103:FLOW COEFF,1770113,Static,10.27.72.11,47808,1,BACD:13,17701,LAO,NO,5033,100000,BSHC.VAV.103,,,,
vav.103,Air Distribution,VAV Box,BSHC.VAV.103:FLOW STPT,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.103:FLOW STPT,1770113,Static,10.27.72.11,47808,1,BACD:13,17701,LAO,NO,5033,100000,BSHC.VAV.103,,,,
vav.103,Air Distribution,VAV Box,BSHC.VAV.103:HEAT.COOL,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.103:HEAT.COOL,1770113,Static,10.27.72.11,47808,1,BACD:13,17701,LDO,NO,5033,100000,BSHC.VAV.103,,,,
vav.103,Air Distribution,VAV Box,BSHC.VAV.103:HTG MAX,,,LAO,ft3/m,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.103:HTG MAX,1770113,Static,10.27.72.11,47808,1,BACD:13,17701,LAO,NO,5033,100000,BSHC.VAV.103,,,,
vav.103,Air Distribution,VAV Box,BSHC.VAV.103:HTG MIN,,,LAO,ft3/m,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.103:HTG MIN,1770113,Static,10.27.72.11,47808,1,BACD:13,17701,LAO,NO,5033,100000,BSHC.VAV.103,,,,
vav.103,Air Distribution,VAV Box,BSHC.VAV.103:HTG LOOPOUT,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.103:HTG LOOPOUT,1770113,Static,10.27.72.11,47808,1,BACD:13,17701,LAO,NO,5033,100000,BSHC.VAV.103,,,,
